ALL SCHOOLS,ADDRESS,SCHOOL PD,original address,latitude,longitude,",",,,,,768928,103.8300549,1.4360948
INNOVA PRIMARY SCHOOL,80 Woodlands Drive 17,737888,80 Woodlands Drive 17,1.428957,103.790631,",",,,,,529283,103.9566662,1.3543109
JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71,768515,2 YISHUN STREET 71,1.427671,103.830498,",",,,,,768680,103.8442362,1.42776895
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52,569228,5 ANG MO KIO ST 52,1.371479,103.851863,",",,,,,768578,103.840749,1.43579135
JUNYUAN PRIMARY SCHOOL,2 Tampines Street 91,528906,2 Tampines Street 91,1.347973,103.940012,",",,,,,544974,103.8959746,1.38283675
JUNYUAN SECONDARY SCHOOL,11 TAMPINES STREET 84,528933,11 TAMPINES STREET 84,1.353327,103.933573,",",,,,,768692,103.8447792,1.4212669
JURONG JUNIOR COLLEGE,800 CORPORATION ROAD,649809,800 CORPORATION ROAD,1.350886,103.713267,",",,,,,757622,103.813541,1.45694685
JURONG PRIMARY SCHOOL,320 JURONG EAST Street 32,609476,320 JURONG EAST Street 32,1.348679,103.732992,",",,,,,545081,103.8987862,1.3816673
JURONG SECONDARY SCHOOL,31 YUAN CHING ROAD,618652,31 YUAN CHING ROAD,1.330365,103.724282,",",,,,,769026,103.8405929,1.421194
JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61,648368,30 JURONG WEST ST 61,1.339037,103.698854,",",,,,,458436,103.9240813,1.3197569
JURONG WEST SECONDARY SCHOOL,61 JURONG WEST STREET 65,648348,61 JURONG WEST STREET 65,1.335276,103.702086,",",,,,,544822,103.8911786,1.38409165
JURONGVILLE SECONDARY SCHOOL,202 JURONG EAST AVENUE 1,609790,202 JURONG EAST AVENUE 1,1.351493,103.729161,",",,,,,768454,103.8381029,1.41577495
JUYING PRIMARY SCHOOL,31 JURONG WEST STREET 91,649037,31 JURONG WEST STREET 91,1.33837,103.688061,",",,,,,536741,103.8849238,1.34993195
JUYING SECONDARY SCHOOL,33 JURONG WEST STREET 91,649038,33 JURONG WEST STREET 91,1.338205,103.687205,",",,,,,519524,103.9392785,1.3776222
KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6,659762,90 BUKIT BATOK EAST AVENUE 6,1.344811,103.756519,",",,,,,518968,103.9630263,1.37215285
KENT RIDGE SECONDARY SCHOOL,147 WEST COAST ROAD,127368,147 WEST COAST ROAD,1.301947,103.765404,",",,,,,518934,103.9597766,1.3726966
KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH,319580,15 LORONG 3 TOA PAYOH,1.337666,103.847796,",",,,,,529400,103.9485272,1.35470585
KONG HWA SCHOOL,350 GUILLEMARD ROAD,399772,350 GUILLEMARD ROAD,1.311292,103.888386,",",,,,,556094,103.8706327,1.3589959
KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54,689189,11 CHOA CHU KANG STREET 54,1.393694,103.747785,",",,,,,597610,103.7762188,1.3380993
KRANJI SECONDARY SCHOOL,61 CHOA CHU KANG STREET 51,689333,61 CHOA CHU KANG STREET 51,1.390468,103.741661,",",,,,,797702,103.878152,1.39088135
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,2 ANG MO KIO STREET 23,569341,2 ANG MO KIO STREET 23,1.368269,103.840314,",",,,,,129857,103.7677307,1.3160644
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10 Bishan St. 13,579795,10 Bishan St. 13,1.350135,103.854907,",",,,,,575566,103.8295394,1.36648005
LAKESIDE PRIMARY SCHOOL,161 Corporation Walk,618310,161 Corporation Walk,1.338216,103.717603,",",,,,,168622,103.8371267,1.28627625
LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52,659243,2 BUKIT BATOK STREET 52,1.354143,103.754202,",",,,,,569845,103.8429222,1.3827639
LOYANG PRIMARY SCHOOL,3 PASIR RIS DRIVE 6,519419,3 PASIR RIS DRIVE 6,1.370648,103.955936,",",,,,,468980,103.9209895,1.3269904
LOYANG SECONDARY SCHOOL,12 PASIR RIS STREET 11,519073,12 PASIR RIS STREET 11,1.366972,103.956826,",",,,,,649076,103.6948087,1.3489146
MACPHERSON PRIMARY SCHOOL,2 MATTAR ROAD,387724,2 MATTAR ROAD,1.324557,103.881618,",",,,,,649075,103.6951478,1.3478375
MACPHERSON SECONDARY SCHOOL,121 CIRCUIT ROAD,379499,121 CIRCUIT ROAD,43.693493,-71.05462,",",,,,,828845,103.9052782,1.4053286
MAHA BODHI SCHOOL,10 UBI AVENUE 1,408931,10 UBI AVENUE 1,1.328994,103.901361,",",,,,,659163,103.7409577,1.34921465
MANJUSRI SECONDARY SCHOOL,20 Ubi Ave 1,408940,20 Ubi Ave 1,1.327216,103.901815,",",,,,,828772,103.897542,1.4012597
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD,368051,25 MOUNT VERNON ROAD,37.78313,-87.92629,",",,,,,828870,103.9090638,1.4022783
MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD,738927,31 WOODLANDS CENTRE ROAD,1.433827,103.773663,",",,,,,538787,103.8947545,1.37813115
MARSILING SECONDARY SCHOOL,12 MARSILING ROAD,739110,12 MARSILING ROAD,1.436626,103.775983,",",,,,,128104,103.756965,1.31280555
MARYMOUNT CONVENT SCHOOL,20 MARYMOUNT ROAD,297754,20 MARYMOUNT ROAD,1.340439,103.839646,",",,,,,529454,103.9483795,1.3490684
MAYFLOWER PRIMARY SCHOOL,200 ANG MO KIO AVE 5,569878,200 ANG MO KIO AVE 5,1.376395,103.843181,",",,,,,738525,103.7883337,1.4420502
MAYFLOWER SECONDARY SCHOOL,2 ANG MO KIO Street 21,569384,2 ANG MO KIO Street 21,1.368331,103.835438,",",,,,,149303,103.8078533,1.296034
MEE TOH SCHOOL,21 EDGEDALE PLAINS,828867,21 EDGEDALE PLAINS,1.394828,103.90904,",",,,,,149295,103.8019077,1.3004452
MERIDIAN JUNIOR COLLEGE,21 Pasir Ris Street 71,518799,21 Pasir Ris Street 71,1.376058,103.937004,",",,,,,148800,103.8132112,1.2939291
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71,518798,20 PASIR RIS ST 71,1.375781,103.935197,",",,,,,259978,103.8304131,1.3125218
METHODIST GIRLS' SCHOOL (PRIMARY),11 Blackmore Drive,599986,11 Blackmore Drive,1.332954,103.782566,",",,,,,289072,18.7388414,-33.9905569
METHODIST GIRLS' SCHOOL (SECONDARY),11 BLACKMORE DRIVE,599986,11 BLACKMORE DRIVE,1.332954,103.782566,",",,,,,469719,103.9346186,1.3336412
MILLENNIA INSTITUTE,60 Bukit Batok West Avenue 8,658965,60 Bukit Batok West Avenue 8,1.350343,103.741592,",",,,,,738524,103.7883952,1.44058925
MONTFORT JUNIOR SCHOOL,52 HOUGANG AVENUE 8,538786,52 HOUGANG AVENUE 8,1.373864,103.889614,",",,,,,545092,103.9046075,1.39365955
MONTFORT SECONDARY SCHOOL,50 HOUGANG AVENUE 8,538785,50 HOUGANG AVENUE 8,1.373518,103.888992,",",,,,,689621,103.7510224,1.3934122
NAN CHIAU HIGH SCHOOL,20 ANCHORVALE LINK,545079,20 ANCHORVALE LINK,1.388713,103.890283,",",,,,,737803,103.800972,1.4475109
NAN CHIAU PRIMARY SCHOOL,50 ANCHORVALE LINK,545080,50 ANCHORVALE LINK,1.391841,103.890834,",",,,,,237993,103.8344378,1.29647805
NAN HUA HIGH SCHOOL,41 CLEMENTI AVENUE 1,129956,41 CLEMENTI AVENUE 1,1.30807,103.769189,",",,,,,649961,103.7131326,1.3502023
NAN HUA PRIMARY SCHOOL,30 JALAN LEMPENG,128806,30 JALAN LEMPENG,1.319799,103.761213,",",,,,,555855,103.8745282,1.37276625
NANYANG GIRLS' HIGH SCHOOL,2 LINDEN DRIVE,288683,2 LINDEN DRIVE,39.428403,-79.002599,",",,,,,649295,103.718726,1.3466077
NANYANG JUNIOR COLLEGE,128 SERANGOON AVENUE 3,556111,128 SERANGOON AVENUE 3,1.350297,103.866494,",",,,,,555889,103.8691357,1.37078955
NANYANG PRIMARY SCHOOL,52 KING'S ROAD,268097,52 KING'S ROAD,40.744016,-74.394726,",",,,,,757715,103.8208904,1.4452989
NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD,288913,37 HILLCREST ROAD,30.689336,-88.190632,",",,,,,757704,103.8166628,1.44565285
NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4,769028,7 YISHUN AVE 4,1.416055,103.839091,",",,,,,545166,103.8996119,1.38912885
NAVAL BASE SECONDARY SCHOOL,901 YISHUN RING ROAD,768689,901 YISHUN RING ROAD,1.41924,103.831032,",",,,,,609604,103.7395649,1.340467
NEW TOWN PRIMARY SCHOOL,300 Tanglin Halt Road,148812,300 Tanglin Halt Road,1.299825,103.799953,",",,,,,797636,103.8747641,1.39311055
NEW TOWN SECONDARY SCHOOL,1020 Dover Road,139657,1020 Dover Road,36.5518,-87.447616,",",,,,,739148,103.7751505,1.4441181
NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE,449149,344 MARINE TERRACE,1.305526,103.917371,",",,,,,545090,103.8987063,1.3865332
NGEE ANN SECONDARY SCHOOL,1 TAMPINES STREET 32,529283,1 TAMPINES STREET 32,1.354061,103.956972,",",,,,,534768,103.8877047,1.364905
NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET,545088,1 RIVERVALE STREET,1.386881,103.903609,",",,,,,534237,103.902063,1.3749396
NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6,768960,210 YISHUN AVENUE 6,1.427616,103.848313,",",,,,,649332,103.7215907,1.3471254
NORTH VIEW SECONDARY SCHOOL,530 YISHUN RING ROAD,768680,530 YISHUN RING ROAD,1.427923,103.844727,",",,,,,519385,103.9393769,1.37991245
NORTH VISTA PRIMARY SCHOOL,20 Compassvale Link,544974,20 Compassvale Link,1.382913,103.89588,",",,,,,309437,103.8267162,1.3205626
NORTH VISTA SECONDARY SCHOOL,11 RIVERVALE LINK,545081,11 RIVERVALE LINK,1.380997,103.899464,",",,,,,739067,103.7877379,1.4322157
NORTHBROOKS SECONDARY SCHOOL,585 YISHUN RING ROAD,768692,585 YISHUN RING ROAD,1.421082,103.845179,",",,,,,309437,103.8267162,1.3205626
NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4,769026,15 YISHUN AVENUE 4,1.420935,103.840768,",",,,,,737758,103.8043893,1.4366363
NORTHLAND SECONDARY SCHOOL,3 YISHUN STREET 22,768578,3 YISHUN STREET 22,1.435827,103.840098,",",,,,,529593,103.9299902,1.35001895
NORTHLIGHT SCHOOL,2 Dunman Road Campus 1,439188,2 Dunman Road Campus 1,,,",",,,,,689762,103.7445157,1.3829191
NORTHOAKS PRIMARY SCHOOL,61 Sembawang Drive,757622,61 Sembawang Drive,1.456638,103.813826,",",,,,,469700,103.94236,1.3350627
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20 Clementi Avenue 1,129957,20 Clementi Avenue 1,1.307227,103.769412,",",,,,,609560,103.7441449,1.3433364
OPERA ESTATE PRIMARY SCHOOL,48 FIDELIO STREET,458436,48 FIDELIO STREET,1.319773,103.923725,",",,,,,556140,103.875474,1.34657755
ORCHID PARK SECONDARY SCHOOL,10 YISHUN STREET 81,768454,10 YISHUN STREET 81,1.414902,103.83835,",",,,,,467353,103.9404389,1.3253834
OUTRAM SECONDARY SCHOOL,3 YORK HILL,168622,3 YORK HILL,39.970103,-76.699873,",",,,,,429058,103.9169663,1.308666
PALM VIEW PRIMARY SCHOOL,150 Compassvale Bow,544822,150 Compassvale Bow,1.383744,103.890528,",",,,,,455789,103.9182735,1.318257
PARK VIEW PRIMARY SCHOOL,60 PASIR RIS DRIVE 1,519524,60 PASIR RIS DRIVE 1,1.377331,103.939371,",",,,,,528986,103.9370076,1.3501232
PASIR RIS CREST SECONDARY SCHOOL,11 PASIR RIS STREET 41,518934,11 PASIR RIS STREET 41,1.372403,103.959386,",",,,,,309331,103.8462773,1.31754425
PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21,518968,5 PASIR RIS STREET 21,1.372305,103.962479,",",,,,,228091,103.8462388,1.3036569
PASIR RIS SECONDARY SCHOOL,390 Tampines Street 21,529400,390 Tampines Street 21,1.354805,103.948043,",",,,,,659322,103.7504348,1.36451995
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO,536741,298 LORONG AH SOO,1.351003,103.884813,",",,,,,198423,103.857301,1.3038409
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296 Lor Ah Soo,536742,296 Lor Ah Soo,1.350731,103.885565,",",,,,,259240,103.8127322,1.3213339
PEI CHUN PUBLIC SCHOOL,16 TOA PAYOH LORONG 7,319320,16 TOA PAYOH LORONG 7,1.337371,103.85482,",",,,,,529564,103.9569093,1.3575359
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE,597610,7 PEI WAH AVENUE,1.338081,103.77613,",",,,,,529565,103.9491249,1.3605469
PEI HWA SECONDARY SCHOOL,21 Fernvale Link,797702,21 Fernvale Link,1.390273,103.878474,",",,,,,437259,103.9004436,1.3053161
PEI TONG PRIMARY SCHOOL,15 CLEMENTI AVENUE 5,129857,15 CLEMENTI AVENUE 5,1.315889,103.767747,",",,,,,127391,103.7580435,1.30983385
PEICAI SECONDARY SCHOOL,10 SERANGOON AVENUE 4,556094,10 SERANGOON AVENUE 4,1.3587,103.870667,",",,,,,469268,103.9265955,1.3222667
PEIRCE SECONDARY SCHOOL,10 SIN MING WALK,575566,10 SIN MING WALK,1.36613,103.829903,",",,,,,429401,-0.2007754,43.3433995
PEIYING PRIMARY SCHOOL,651 YISHUN RING ROAD,768687,651 YISHUN RING ROAD,1.417009,103.830256,",",,,,,469278,103.9351096,1.3186533
PING YI SECONDARY SCHOOL,61 Chai Chee Street,468980,61 Chai Chee Street,1.326674,103.920663,",",,,,,688261,103.7540079,1.3822744
PIONEER JUNIOR COLLEGE,21 Teck Whye Walk,688258,21 Teck Whye Walk,1.384627,103.753951,",",,,,,569299,103.8509256,1.36536405
PIONEER PRIMARY SCHOOL,23 JURONG WEST STREET 81,649076,23 JURONG WEST STREET 81,1.348486,103.694609,",",,,,,689143,103.7460308,1.39972215
PIONEER SECONDARY SCHOOL,21 JURONG WEST STREET 81,649075,21 JURONG WEST STREET 81,1.347267,103.694569,",",,,,,449035,103.9198444,1.3061913
POI CHING SCHOOL,21 TAMPINES STREET 71,529067,21 TAMPINES STREET 71,1.3582,103.935299,",",,,,,438796,103.8973455,1.308322
PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,569845,5209 ANG MO KIO AVENUE 6,1.382254,103.8431,",",,,,,649223,103.6989833,1.34468085
PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3,659163,30 BUKIT BATOK WEST AVENUE 3,1.349481,103.74102,",",,,,,679946,103.7662281,1.3896262
PUNGGOL GREEN PRIMARY SCHOOL,98 Punggol Walk,828772,98 Punggol Walk,1.398247,103.917581,",",,,,,677737,103.7601435,1.3884211
PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8,538787,61 HOUGANG AVENUE 8,1.37819,103.894746,",",,,,,649188,103.700513,1.34744235
PUNGGOL SECONDARY SCHOOL,51 EDGEFIELD PLAINS,828870,51 EDGEFIELD PLAINS,1.402069,103.909443,",",,,,,648350,103.7017636,1.3535768
PUNGGOL VIEW PRIMARY SCHOOL,9 Punggol Place,828845,9 Punggol Place,1.405296,103.90518,",",,,,,448880,103.9274578,1.30854205
QIAONAN PRIMARY SCHOOL,15 TAMPINES STREET 11,529454,15 TAMPINES STREET 11,1.346217,103.949144,",",,,,,569730,103.8538346,1.3583892
QIFA PRIMARY SCHOOL,50 WEST COAST AVENUE,128104,50 WEST COAST AVENUE,1.312805,103.757141,",",,,,,757702,103.8224126,1.45213625
QIHUA PRIMARY SCHOOL,5 WOODLANDS STREET 81,738525,5 WOODLANDS STREET 81,1.442105,103.788557,",",,,,,738990,103.7965806,1.42830325
QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DR,149303,310 MARGARET DR,38.803366,-120.142367,",",,,,,465561,103.9478533,1.3163473
QUEENSTOWN SECONDARY SCHOOL,1 STRATHMORE ROAD,148800,1 STRATHMORE ROAD,42.336235,-71.145051,",",,,,,738079,103.7903379,1.43319325
QUEENSWAY SECONDARY SCHOOL,2A MARGARET DRIVE,149295,2A MARGARET DRIVE,32.579438,-93.863828,",",,,,,738239,103.800325,1.435801
RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE,99840,1 BUKIT PURMEI AVENUE,1.274536,103.82431,",",,,,,739111,103.774404,1.43952995
RAFFLES GIRLS' PRIMARY SCHOOL,21 HILLCREST ROAD,289072,21 HILLCREST ROAD,30.689746,-88.19063,",",,,,,519075,103.9612546,1.36547295
RAFFLES GIRLS' SCHOOL (SECONDARY),20 ANDERSON ROAD ,259978,20 ANDERSON ROAD,42.905143,-78.771551,",",,,,,738853,103.7917017,1.4366976
RAFFLES INSTITUTION,1 RAFFLES INSTITUTION LANE,575954,1 RAFFLES INSTITUTION LANE,1.345712,103.845871,",",,,,,579747,103.8425576,1.35567945
RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3,469719,350 BEDOK NORTH AVENUE 3,1.333361,103.934605,",",,,,,738240,103.7976997,1.4377785
REGENT SECONDARY SCHOOL,50 CHOA CHU KANG NORTH 5,689621,50 CHOA CHU KANG NORTH 5,1.393079,103.750966,",",,,,,538784,103.8830863,1.3713546
RIVER VALLEY HIGH SCHOOL,6 Boon Lay Avenue,649961,6 Boon Lay Avenue,1.343172,103.70949,",",,,,,538882,103.890515,1.3580028
RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN,237993,2 RIVER VALLEY GREEN,40.135317,-76.749383,",",,,,,538720,103.8854181,1.3778329
RIVERSIDE PRIMARY SCHOOL,110 Woodlands Crescent,737803,110 Woodlands Crescent,49.875856,-97.281383,",",,,,,569868,103.8421304,1.3782302
RIVERSIDE SECONDARY SCHOOL,3 Woodlands Street 81,738524,3 Woodlands Street 81,1.44088,103.788728,",",,,,,538789,103.8859564,1.3720981
RIVERVALE PRIMARY SCHOOL,80 RIVERVALE DRIVE,545092,80 RIVERVALE DRIVE,1.393196,103.904383,",",,,,,768516,103.8290005,1.42796
ROSYTH SCHOOL,21 Serangoon North Avenue 4,555855,21 Serangoon North Avenue 4,1.372862,103.874791,",",,,,,677742,103.7600542,1.383489
RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52,649295,6 JURONG WEST STREET 52,1.346187,103.718911,",",,,,,768675,103.8305057,1.42449365
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1 Technology Drive,138572,1 Technology Drive,36.349632,-94.085338,",",,,,,619522,103.7099676,1.3415212
"SCHOOL OF THE ARTS, SINGAPORE",01 05 1 Zubir Said Drive Admin Office,227968,01 05 1 Zubir Said Drive Admin Office,,,",",,,,,689100,103.7511092,1.3969525
SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE,757715,10 SEMBAWANG DRIVE,1.44497,103.820734,",",,,,,609558,103.7409217,1.3428913
SEMBAWANG SECONDARY SCHOOL,30 SEMBAWANG CRESCENT,757704,30 SEMBAWANG CRESCENT,1.445241,103.816996,",",,,,,679002,103.7696765,1.37942415
SENG KANG PRIMARY SCHOOL,21 COMPASSVALE WALK,545166,21 COMPASSVALE WALK,1.389086,103.899471,",",,,,,529393,103.9508735,1.3512643
SENG KANG SECONDARY SCHOOL,10 COMPASSVALE LANE,545090,10 COMPASSVALE LANE,1.385933,103.898397,",",,,,,658712,103.760015,1.3426926
SENGKANG GREEN PRIMARY SCHOOL,15 Fernvale Road,797636,15 Fernvale Road,1.392548,103.87539,",",,,,,538884,103.890709,1.35709395
SERANGOON GARDEN SECONDARY SCHOOL,21 SERANGOON NORTH AVENUE 1,555889,21 SERANGOON NORTH AVENUE 1,1.36967,103.868983,",",,,,,556095,103.8697765,1.3599188
SERANGOON JUNIOR COLLEGE,1033 UPPER SERANGOON ROAD,534768,1033 UPPER SERANGOON ROAD,1.365172,103.886996,",",,,,,677741,103.7651766,1.3888488
SERANGOON SECONDARY SCHOOL,11 UPPER SERANGOON VIEW,534237,11 UPPER SERANGOON VIEW,1.374435,103.902512,",",,,,,,,
SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51,649332,8 JURONG WEST STREET 51,1.347595,103.721578,",",,,,,,,
SHUQUN SECONDARY SCHOOL,450 JURONG EAST STREET 21,609604,450 JURONG EAST STREET 21,1.340338,103.739469,",",,,,,,,
SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1,739067,61 WOODLANDS AVENUE 1,1.432693,103.78577,",",,,,,,,
SI LING SECONDARY SCHOOL,11 MARSILING LANE,739148,11 MARSILING LANE,1.444732,103.775019,",",,,,,,,
SIGLAP SECONDARY SCHOOL,10 PASIR RIS DRIVE 10,519385,10 PASIR RIS DRIVE 10,1.37916,103.939304,",",,,,,,,
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190 DUNEARN ROAD,309437,190 DUNEARN ROAD,1.321253,103.828017,",",,,,,,,
SINGAPORE CHINESE GIRLS' SCHOOL,190 DUNEARN ROAD,309437,190 DUNEARN ROAD,1.321253,103.828017,",",,,,,,,
SINGAPORE SPORTS SCHOOL,1 Champions Way,737913,1 Champions Way,40.24542,-74.369667,",",,,,,,,
SOUTH VIEW PRIMARY SCHOOL,6 CHOA CHU KANG CENTRAL,689762,6 CHOA CHU KANG CENTRAL,1.381324,103.747145,",",,,,,,,
SPECTRA SECONDARY SCHOOL,1 Woodlands Drive 64,737758,1 Woodlands Drive 64,1.436958,103.805405,",",,,,,,,
SPRINGDALE PRIMARY SCHOOL,71 Anchorvale Link,544799,71 Anchorvale Link,1.395225,103.890476,",",,,,,,,
SPRINGFIELD SECONDARY SCHOOL,30 TAMPINES AVENUE 8,529593,30 TAMPINES AVENUE 8,1.349409,103.929982,",",,,,,,,
ST. ANDREW'S JUNIOR COLLEGE,5 Sorby Adams Drive,357691,5 Sorby Adams Drive,,,",",,,,,,,
ST. ANDREW'S JUNIOR SCHOOL,2 FRANCIS THOMAS DRIVE,359337,2 FRANCIS THOMAS DRIVE,1.331468,103.865209,",",,,,,,,
ST. ANDREW'S SECONDARY SCHOOL,15 Francis Thomas Drive,359342,15 Francis Thomas Drive,1.331368,103.865853,",",,,,,,,
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4,469701,1602 BEDOK NORTH AVE 4,1.334282,103.941072,",",,,,,,,
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 Bedok North Avenue 4,469700,1600 Bedok North Avenue 4,1.335791,103.942873,",",,,,,,,
ST. ANTHONY'S PRIMARY SCHOOL,571 Jurong East Street 24,609560,571 Jurong East Street 24,1.343448,103.744005,",",,,,,,,
ST. GABRIEL'S PRIMARY SCHOOL,220 Lorong Chuan,556742,220 Lorong Chuan,1.349363,103.862358,",",,,,,,,
ST. GABRIEL'S SECONDARY SCHOOL,24 SERANGOON AVENUE 1,556140,24 SERANGOON AVENUE 1,1.346401,103.875825,",",,,,,,,
ST. HILDA'S PRIMARY SCHOOL,860 NEW UPPER CHANGI ROAD,467353,860 NEW UPPER CHANGI ROAD,1.32465,103.938581,",",,,,,,,
ST. HILDA'S SECONDARY SCHOOL,2 TAMPINES STREET 82,528986,2 TAMPINES STREET 82,1.350082,103.936638,",",,,,,,,
ST. JOSEPH'S INSTITUTION,38 MALCOLM ROAD,308274,38 MALCOLM ROAD,31.639195,-90.204553,",",,,,,,,
ST. JOSEPH'S INSTITUTION JUNIOR,3 ESSEX ROAD,309331,3 ESSEX ROAD,39.335506,-76.734695,",",,,,,,,
ST. MARGARET'S PRIMARY SCHOOL,99 WILKIE ROAD,228091,99 WILKIE ROAD,38.560324,-81.854415,",",,,,,,,
ST. MARGARET'S SECONDARY SCHOOL,111 FARRER ROAD,259240,111 FARRER ROAD,1.319577,103.809597,",",,,,,,,
ST. PATRICK'S SCHOOL,490 EAST COAST ROAD,429058,490 EAST COAST ROAD,1.30923,103.916644,",",,,,,,,
ST. STEPHEN'S SCHOOL,20 SIGLAP VIEW,455789,20 SIGLAP VIEW,1.319006,103.917604,",",,,,,,,
STAMFORD PRIMARY SCHOOL,1 VICTORIA LANE,198423,1 VICTORIA LANE,38.918973,-76.630259,",",,,,,,,
SWISS COTTAGE SECONDARY SCHOOL,3 BUKIT BATOK STREET 34,659322,3 BUKIT BATOK STREET 34,1.364045,103.750416,",",,,,,,,
TAMPINES JUNIOR COLLEGE,2 TAMPINES AVENUE 9,529564,2 TAMPINES AVENUE 9,1.357607,103.955857,",",,,,,,,
TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9,529565,30 TAMPINES AVENUE 9,1.360298,103.948581,",",,,,,,,
TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12,529426,250 TAMPINES STREET 12,1.349774,103.94402,",",,,,,,,
TAMPINES SECONDARY SCHOOL,252 TAMPINES ST 12,529427,252 TAMPINES ST 12,1.348712,103.944485,",",,,,,,,
TANGLIN SECONDARY SCHOOL,301 WEST COAST ROAD,127391,301 WEST COAST ROAD,40.115479,-123.814055,",",,,,,,,
TANJONG KATONG GIRLS' SCHOOL,20 DUNMAN LANE,439272,20 DUNMAN LANE,1.308631,103.895897,",",,,,,,,
TANJONG KATONG PRIMARY SCHOOL,10 SERAYA ROAD,437259,10 SERAYA ROAD,1.305412,103.900309,",",,,,,,,
TANJONG KATONG SECONDARY SCHOOL,130 HAIG ROAD,438796,130 HAIG ROAD,40.648778,-73.694272,",",,,,,,,
TAO NAN SCHOOL,2 BEDOK SOUTH ROAD,469268,2 BEDOK SOUTH ROAD,1.321696,103.927458,",",,,,,,,
TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32,569299,1 ANG MO KIO STREET 32,1.365396,103.850524,",",,,,,,,
TECK WHYE PRIMARY SCHOOL,11 TECK WHYE WALK,688261,11 TECK WHYE WALK,1.383126,103.753548,",",,,,,,,
TECK WHYE SECONDARY SCHOOL,31 TECK WHYE CRESCENT ,688848,31 TECK WHYE CRESCENT,1.382536,103.755214,",",,,,,,,
TELOK KURAU PRIMARY SCHOOL,50 BEDOK RESERVOIR RD,479239,50 BEDOK RESERVOIR RD,1.331377,103.911059,",",,,,,,,
TELOK KURAU SECONDARY SCHOOL,3 CHIN CHENG AVENUE,429401,3 CHIN CHENG AVENUE,1.316641,103.906854,",",,,,,,,
TEMASEK JUNIOR COLLEGE,22 BEDOK SOUTH ROAD,469278,22 BEDOK SOUTH ROAD,1.318925,103.935562,",",,,,,,,
TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3,469300,501 BEDOK SOUTH AVE 3,1.317502,103.945488,",",,,,,,,
TEMASEK SECONDARY SCHOOL,600 UPPER EAST COAST ROAD,465561,600 UPPER EAST COAST ROAD,1.315759,103.947167,",",,,,,,,
TOWNSVILLE PRIMARY SCHOOL,3 ANG MO KIO AVE 10,569730,3 ANG MO KIO AVE 10,1.359123,103.854452,",",,,,,,,
UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT,688268,21 CHOA CHU KANG CRESCENT,1.403245,103.74729,",",,,,,,,
UNITY SECONDARY SCHOOL,20 CHOA CHU KANG STREET 62,689143,20 CHOA CHU KANG STREET 62,1.40005,103.746125,",",,,,,,,
